customer_id,month,year,employee_count,monthly_payroll,avg_wage,contribution_date,is_late_contribution,employee_churn
CUST_001,1,2024,10,92852,9285,2024-01-15,False,1
CUST_001,2,2024,10,113326,11332,2024-02-15,False,0
CUST_001,3,2024,10,118441,11844,2024-03-15,False,0
CUST_001,4,2024,10,86766,8676,2024-04-15,False,0
CUST_001,5,2024,10,90625,9062,2024-05-15,False,0
CUST_001,6,2024,11,92442,8403,2024-06-15,False,0
CUST_001,7,2024,11,108112,9828,2024-07-15,False,0
CUST_001,8,2024,11,118642,10785,2024-08-15,False,0
CUST_001,9,2024,12,113817,9484,2024-09-15,False,0
CUST_001,10,2024,13,89117,6855,2024-10-15,False,0
CUST_001,11,2024,14,93479,6677,2024-11-15,False,0
CUST_001,12,2024,14,117550,8396,2024-12-15,False,0
CUST_002,1,2024,3,32891,10963,2024-01-15,False,0
CUST_002,2,2024,2,49503,24751,2024-02-15,False,0
CUST_002,3,2024,1,45328,45328,2024-03-15,False,0
CUST_002,4,2024,1,42486,42486,2024-04-15,False,0
CUST_002,5,2024,1,32450,32450,2024-05-15,False,0
CUST_002,6,2024,1,34631,34631,2024-06-15,False,0
CUST_002,7,2024,1,47571,47571,2024-07-15,False,0
CUST_002,8,2024,1,46843,46843,2024-08-20,True,0
CUST_002,9,2024,1,38342,38342,2024-09-15,False,0
CUST_002,10,2024,1,40961,40961,2024-10-15,False,0
CUST_002,11,2024,1,42128,42128,2024-11-15,False,0
CUST_002,12,2024,1,31001,31001,2024-12-15,False,0
CUST_003,1,2024,2,57489,28744,2024-01-15,False,0
CUST_003,2,2024,2,45743,22871,2024-02-15,False,0
CUST_003,3,2024,2,69401,34700,2024-03-15,False,0
CUST_003,4,2024,2,60551,30275,2024-04-15,False,0
CUST_003,5,2024,2,49501,24750,2024-05-15,False,0
CUST_003,6,2024,2,47745,23872,2024-06-15,False,0
CUST_003,7,2024,2,42837,21418,2024-07-15,False,0
CUST_003,8,2024,2,67336,33668,2024-08-15,False,0
CUST_003,9,2024,2,61824,30912,2024-09-15,False,0
CUST_003,10,2024,2,51233,25616,2024-10-15,False,0
CUST_003,11,2024,2,62885,31442,2024-11-15,False,0
CUST_003,12,2024,2,63848,31924,2024-12-15,False,0
CUST_004,1,2024,9,175003,19444,2024-01-15,False,0
CUST_004,2,2024,9,160506,17834,2024-02-15,False,0
CUST_004,3,2024,9,124279,13808,2024-03-15,False,0
CUST_004,4,2024,9,111427,12380,2024-04-15,False,0
CUST_004,5,2024,9,100544,11171,2024-05-15,False,0
CUST_004,6,2024,9,149563,16618,2024-06-15,False,0
CUST_004,7,2024,9,129316,14368,2024-07-15,False,0
CUST_004,8,2024,9,128912,14323,2024-08-15,False,0
CUST_004,9,2024,10,123393,12339,2024-09-15,False,1
CUST_004,10,2024,11,131504,11954,2024-10-15,False,0
CUST_004,11,2024,12,135030,11252,2024-11-15,False,0
CUST_004,12,2024,12,106031,8835,2024-12-15,False,0
CUST_005,1,2024,18,150377,8354,2024-01-15,False,0
CUST_005,2,2024,18,179154,9953,2024-02-15,False,0
CUST_005,3,2024,18,190618,10589,2024-03-15,False,0
CUST_005,4,2024,19,150627,7927,2024-04-15,False,0
CUST_005,5,2024,19,207894,10941,2024-05-15,False,0
CUST_005,6,2024,19,206546,10870,2024-06-15,False,0
CUST_005,7,2024,19,202303,10647,2024-07-15,False,0
CUST_005,8,2024,19,167537,8817,2024-08-15,False,0
CUST_005,9,2024,19,210712,11090,2024-09-15,False,0
CUST_005,10,2024,19,152316,8016,2024-10-15,False,0
CUST_005,11,2024,19,152640,8033,2024-11-15,False,0
CUST_005,12,2024,19,212877,11204,2024-12-15,False,0
CUST_006,1,2024,4,63732,15933,2024-01-15,False,0
CUST_006,2,2024,5,71163,14232,2024-02-15,False,0
CUST_006,3,2024,5,68539,13707,2024-03-15,False,1
CUST_006,4,2024,5,70686,14137,2024-04-15,False,0
CUST_006,5,2024,6,97551,16258,2024-05-15,False,0
CUST_006,6,2024,7,84845,12120,2024-06-15,False,0
CUST_006,7,2024,7,83937,11991,2024-07-15,False,0
CUST_006,8,2024,7,90856,12979,2024-08-15,False,0
CUST_006,9,2024,8,85839,10729,2024-09-15,False,0
CUST_006,10,2024,9,92990,10332,2024-10-15,False,0
CUST_006,11,2024,10,60701,6070,2024-11-15,False,0
CUST_006,12,2024,10,78004,7800,2024-12-15,False,0
