customer_id,month,year,gstr_sales,tax_paid,filing_date,is_delayed
CUST_001,1,2024,313357,56404,2024-01-20,False
CUST_001,2,2024,289649,52136,2024-02-20,False
CUST_001,3,2024,358346,64502,2024-03-20,False
CUST_001,4,2024,321706,57907,2024-04-20,False
CUST_001,5,2024,321661,57899,2024-05-20,False
CUST_001,6,2024,298294,53692,2024-06-20,False
CUST_001,7,2024,274680,49442,2024-07-20,False
CUST_001,8,2024,339960,61192,2024-08-20,False
CUST_001,9,2024,342399,61631,2024-09-20,False
CUST_001,10,2024,327194,58894,2024-10-20,False
CUST_001,11,2024,258114,46460,2024-11-20,False
CUST_001,12,2024,318243,57283,2024-12-20,False
CUST_002,1,2024,172038,30966,2024-01-25,True
CUST_002,2,2024,125841,22651,2024-02-20,False
CUST_002,3,2024,171259,30826,2024-04-03,False
CUST_002,4,2024,148909,26803,2024-04-20,False
CUST_002,5,2024,149717,26949,2024-05-20,False
CUST_002,6,2024,139707,25147,2024-06-20,False
CUST_002,7,2024,153161,27569,2024-07-26,True
CUST_002,8,2024,150796,27143,2024-08-20,False
CUST_002,9,2024,124919,22485,2024-09-20,False
CUST_002,10,2024,163969,29514,2024-11-01,False
CUST_002,11,2024,135952,24471,2024-11-29,True
CUST_002,12,2024,169541,30517,2024-12-20,False
CUST_004,1,2024,416891,75040,2024-01-20,False
CUST_004,2,2024,356766,64218,2024-02-20,False
CUST_004,3,2024,381186,68613,2024-03-20,False
CUST_004,4,2024,434071,78132,2024-04-27,True
CUST_004,5,2024,290215,52238,2024-05-20,False
CUST_004,6,2024,381842,68731,2024-06-20,False
CUST_004,7,2024,366774,66019,2024-07-20,False
CUST_004,8,2024,404516,72812,2024-09-02,False
CUST_004,9,2024,401884,72339,2024-09-20,False
CUST_004,10,2024,388579,69944,2024-10-20,False
CUST_004,11,2024,388130,69863,2024-11-20,False
CUST_004,12,2024,373569,67242,2024-12-20,False
CUST_005,1,2024,417787,75201,2024-01-20,False
CUST_005,2,2024,424718,76449,2024-02-20,False
CUST_005,3,2024,532983,95937,2024-03-20,False
CUST_005,4,2024,490691,88324,2024-04-20,False
CUST_005,5,2024,480038,86406,2024-05-20,False
CUST_005,6,2024,472039,84967,2024-06-20,False
CUST_005,7,2024,464638,83635,2024-07-20,False
CUST_005,8,2024,410512,73892,2024-08-20,False
CUST_005,9,2024,513472,92425,2024-09-20,False
CUST_005,10,2024,444710,80047,2024-10-20,False
CUST_005,11,2024,545985,98277,2024-11-20,False
CUST_005,12,2024,497494,89548,2024-12-20,False
CUST_006,1,2024,300407,54073,2024-01-20,False
CUST_006,2,2024,345712,62228,2024-02-20,False
CUST_006,3,2024,289481,52106,2024-03-20,False
CUST_006,4,2024,306418,55155,2024-04-20,False
CUST_006,5,2024,259308,46675,2024-05-20,False
CUST_006,6,2024,344636,62034,2024-06-20,False
CUST_006,7,2024,309222,55660,2024-07-20,False
CUST_006,8,2024,316903,57042,2024-08-20,False
CUST_006,9,2024,312465,56243,2024-09-20,False
CUST_006,10,2024,296484,53367,2024-10-20,False
CUST_006,11,2024,317536,57156,2024-11-20,False
CUST_006,12,2024,331012,59582,2024-12-20,False
